"","PC_1","PC_2","PC_3","PC_4","PC_5","PC_6","PC_7","PC_8","PC_9","PC_10","PC_11","PC_12","PC_13","PC_14","PC_15","PC_16","PC_17","PC_18","PC_19","PC_20","PC_21","PC_22","PC_23","PC_24","PC_25","PC_26","PC_27","PC_28","PC_29","PC_30","PC_31","PC_32","PC_33","PC_34","PC_35","PC_36","PC_37","PC_38","PC_39","PC_40","PC_41","PC_42","PC_43","PC_44","PC_45","PC_46","PC_47","PC_48","PC_49","PC_50"
"PAR1",-0.000694716399343443,0.00504838248726961,0.00203994112308577,-0.00267874025590442,-0.000315557929491058,0.00734923963106662,-0.00276409662731292,0.0070611293908656,0.000146733489317537,0.00234625902291644,-0.002665189107722,0.00897719548638225,0.00606070557220729,-0.00568536645013784,0.00477933224070481,-0.00340271347926078,-0.00616994919735796,0.00384634831044423,0.00433773970419897,-0.00665289717167153,0.00863791550369426,0.00897329694024111,-0.000872417363709262,-0.00193870768443907,-0.0010716738709651,-0.00791639884698367,-0.0182485377564301,0.00734195623419255,0.00782735978449247,-0.012307464061743,-0.0118112977472052,-0.0219069229900582,0.00293003634590323,0.013919769912398,0.0153914491944475,-0.00360298116256022,-0.0167337261763263,-0.0164667532652945,0.00393431275991674,0.00209748126986794,-0.00330687385955725,0.0127965222093881,0.00826788886829562,-0.016144336345148,-0.023652911423524,6.58184650041588e-05,-0.0134986444073745,-0.0107211743023328,-0.0152642281649033,0.00795962739589975
"MIR3942",-0.00263043286716602,-0.00160861025513738,-0.000674259569323291,-0.00252359496416129,0.00224559775943524,-0.000628923677569444,-0.0012743955339289,0.00224843255799986,-0.00321491192733815,-0.00171108053082574,0.00303277362893475,-0.000122576309622546,0.00771785317051066,-0.00279918088771644,0.00669317412904363,0.00403364142102818,-0.0127184059431585,0.00233420175815016,-0.00619996661581079,-0.00974541530603702,0.000598020533588388,0.0122416532551866,0.00553340050571222,-0.00713957396874035,-0.0173540025001535,0.0075992039606581,0.014151416431167,-0.00192562263779348,-0.0051268765912046,-0.00556954664961574,-0.000693281367223736,-0.00745809080428628,0.0045155621261178,-0.00818288842872295,0.0148934541318026,0.0131326706895876,0.0416077328733635,-0.00298539218844073,-0.00759646708047651,0.0042131164416464,-0.00977201546989722,0.00798001817931725,-0.00310072582359516,-0.00609147182274699,-0.00279228910082444,-0.0131075565028207,-0.0111049284783911,-0.0146812744385479,-0.011769335155751,-0.00597891887867457
"EGR1",0.0013554750124494,0.00692235154522672,0.0374673264221716,0.0225935378657162,-0.00101889155809434,-0.0313984010540664,-0.0145474025651245,-0.0423271883882852,0.0581379194650678,0.125482423680164,-0.0774200164015465,-0.093402891515845,-0.01415139199479,0.0328476620593258,0.0641716296995974,0.0835842996624612,-0.0370388615800845,-0.0510663435591102,-0.142014624737069,-0.072462896279976,0.0141910146797185,0.000743015878605517,0.0404982717022135,-0.0347077075870175,0.00266847896607734,0.0376437248783782,0.0514078491578033,-0.0219462109957812,0.041101551073392,-0.0688791006203298,-0.0545894774189866,0.0171254129875141,0.0232160744051727,-0.0483685855768087,-0.0233408490151438,-0.0298032932292097,0.0141089568606196,-0.0183951732191432,0.0171749689388005,-0.0113516440967487,0.0216476409591949,-0.0300068890113346,-0.0355578939232284,-0.0219825496473032,-0.013566094552909,0.0150948301549762,-0.00569046700257916,0.020078440668589,0.00175379732456283,-0.0136397146011382
"MIR5047",0.000423668126929146,0.0040203504398626,0.000780977823713707,0.00287856309849135,0.00281955862780711,-0.00661905830176198,-0.00125187554778424,0.0175737135400399,-6.04409542426943e-05,0.00573311516679386,0.0137881494930888,-0.00338266640740871,-0.0137494255374673,-0.0187538447474958,0.00293758731074141,0.0299504336856089,-0.00148600310741241,-0.0330325288436334,-0.0150592108303678,-0.00835534360783466,-0.00757815030068197,-0.00106592955093982,-0.00491655434539466,-0.00688024318168613,0.0173862434661884,-0.0442047513509297,0.00737429103916123,0.0438773462197657,-0.00327767399130842,0.000977157972686208,-0.0126355174729658,-0.0311207608444265,-0.0213006521918276,-0.0198831094140987,0.0254649958384253,0.0553868450707734,0.0101809410826023,-0.019803010539018,-0.0174615101042313,0.0198232098709384,-0.0476077370722732,-0.0144737591214024,0.00251705148105206,-0.0286141344279,-0.0453510877620798,0.0385419386660581,-0.0145807933897175,0.0190320125268857,-0.0260721080337439,0.0167070963748842
"RCAN2",0.0067545249860188,0.00874297103424192,0.0149604185198557,0.0331750197955939,0.04256502205925,0.0242219169260382,-0.0258721576087217,0.0272674582510736,0.0133251540997157,0.00147096448521751,-0.0066164416214896,0.0363217283754214,-0.029595326249908,-0.00990007317321625,-0.00436062883351404,0.00466842854121222,-0.0058996183477498,0.0312965769149911,0.000159842635931062,-0.00712338559133999,0.0123825015705574,0.0139443537919227,0.0187289273127948,-0.0509993549929566,0.0146802513603712,0.0349902957898099,-0.0540666059942175,0.00339296131246602,0.0510150179749369,0.00242871409920335,-0.015107838500941,-0.0182647075414386,-0.0464787247739777,-0.00680241081172542,-0.00182828702219335,-0.0300957995150529,-0.051843634542003,-0.0482756849433454,0.0367936433432632,0.0101555867972972,0.0429917088174797,0.0787828762493081,-0.0135204592163616,-0.0271580086763681,0.0338582351691528,-0.00230568129300996,-0.0499346021188655,0.00933848526070453,0.0232166766419305,0.031479107133228
"MIR181D",0.000758080177431193,0.00144456635992855,0.000294775643349608,0.00335036407931813,-0.00123801547503277,0.00108028967752629,0.000452643621207517,0.00240017951513006,-0.00297359176084168,0.000492006551833826,0.000755860612930642,0.000274687325501342,-0.0014052782557262,0.00229241536077879,-0.00291452454835834,-0.000757148454705175,2.60162765593886e-05,-0.00383823969207236,0.00142099469289956,-0.00102465237401505,-0.00260236746761215,-0.00214904183777207,0.00121934816525907,0.000279528207255207,0.00299793242689415,-0.00311724180948608,-0.0050686427630182,7.51513015615921e-05,-0.00224085858491857,-0.000250361146602655,-0.00480685303455169,0.000818899284406839,0.000396262366286379,0.00550999355329548,0.000534527507473858,0.000242342634338498,0.00380637413545497,0.000280417871282215,0.00207670285025681,0.00502461101338039,0.000289174020006243,0.00533883646338786,-0.0120633569418759,-0.00313927702237917,-0.00789771957771429,-0.00413684070603209,0.00565435227747814,-0.00123237478244459,-0.00248461500882625,0.000524770054285034
"CXCR7",0.0120999178302614,-0.0156219504737723,-0.0113202547748177,-0.0187473773329278,-0.0289166630385315,-0.00255970734642182,-0.0351965094072027,-0.0530582584415857,0.0161770693632473,0.00545840224418589,0.0113247005619748,-0.0331048576601115,0.023714802419398,0.0136018149480852,0.0472931326276218,-0.019823701913135,0.0757713392119886,-0.0173933046279622,-0.0198626963847997,-0.019209195620652,-0.0542619787286646,0.0220339143945936,-0.0305753041919565,0.0376485208415678,-0.0485383088716627,-0.00512781479824173,-0.0261284760431361,-0.0316133469114389,0.0224272846273231,0.0481577156189551,0.0420873333552245,0.0246109799307675,-0.00181311827772212,-0.011898735061024,0.00186030687697604,0.0239223185419839,-0.00963510304305103,0.0203037804452848,-0.064711807061371,0.00970968372708238,0.0767932781566859,0.0433018852473409,-0.00480467320934197,-0.0145205711826806,0.0174731470743864,-0.00397983405787371,-0.00605693525763198,0.0572974357571732,-0.00540311082713222,0.0431275608024899
"SNORA29",0.00412242665103182,4.87290056459061e-05,0.000812795037936364,0.0119519933524393,-0.00596594586284525,-0.00704446363584993,-0.00170359761664597,0.00113812139272616,-0.000798404518892998,0.0330017301588974,-0.00327594518113532,-0.0120201890738494,-0.00277580318898707,0.0191621494350809,-0.0211502684076524,0.00960106201073958,-0.0168875985443839,-0.014192798877235,-0.0141095751485214,-0.00935305595303908,0.00499671609335726,4.40724523403602e-05,-0.00491918279443514,-0.027180113849267,-0.00343250474899094,0.00279002527738197,-0.00740351225529273,0.0237311054844595,0.00395197097173506,-0.00822447029074565,-0.00541603509999354,0.0128891661829656,-0.00480779743808316,-0.0210898997706033,0.0061878852099283,0.013058102856123,-0.00762296233418,-0.026111138227206,-0.0373619705147775,0.0138265358281836,-0.0912400822963531,0.0282131951227893,-0.0140440704258461,-0.000746034339600144,-0.0334966883653181,0.0281157042900676,-0.0424949789353146,0.0293778099314637,-0.00546190141309882,-0.0326393523447967
"SYCE3",-0.00428947091558456,7.59612545378592e-05,-0.00294253395051676,-0.00153125906379633,0.00847734390646438,-0.00625204322450405,-0.00952805784609446,0.00751588418481002,-0.000912828714717712,-0.00346774626315881,-0.00484899037944695,-0.000357234421911149,-0.0036972230090928,-0.00438853167325219,-0.00309857538382609,-0.00439270716030576,0.0117014685618892,0.0148698008284735,-0.00634923219065335,0.00171366313541615,-0.00277034584887692,-0.0172593836337094,0.00343359422933523,0.00745807201722671,-0.00318085963753952,0.000431198378386131,0.0078741280979339,-0.0132737533131966,-0.00851885440711379,-0.00382431580439851,-0.0128678540506589,-0.00586205183101758,0.00447960704154104,-0.0147542105443719,0.00175637839928627,0.0201651570394317,-0.0232265402484276,-0.00692338628208672,0.00221803250760634,-0.00880242937174818,0.00783388197993501,0.0128822145440762,0.00418947037893269,-0.0142945527898818,-0.0116027920417648,-0.00344260542777752,0.0154233875935075,-0.0102450231564008,-0.0333920811264975,-0.0142883406584154
"SNORA66",6.85202994305222e-05,-0.00317834046341806,-0.00230096967415599,-0.000462201359413947,0.000864291670275616,0.000196707737804641,0.00183826063902699,0.0136264733608192,0.00521593973003186,0.01094978005261,0.00959357571586727,-0.0267414095214202,-0.0113239545305212,-0.0296545006593416,-0.00100039680794888,0.00265494900675845,-0.00602318377065704,-0.0335403305057523,0.00505011664701029,0.0228590717165512,0.00796412791916907,0.0142218202348807,-0.00633853941728822,-0.0348273775391574,-0.00562919512721762,0.0432991196897024,-0.0282224292471895,0.0110577660959297,-0.00253595645197915,0.0085788483260749,0.0203759611874689,-0.0428516923755608,0.0248154021623309,0.00217765940234974,0.014640714772327,-0.00717503516491961,0.0117898700155727,-0.00819791199271215,-0.031960068804382,-0.0151025627695934,-0.0262048306344359,0.0506070242803096,0.0350170606784516,0.000776029548396768,-0.0281890323075524,0.0185001673563658,-0.00978580722679027,-0.00735891049867667,0.0428044736559348,0.015366214409283
"DYNC1I1",0.0301354864313352,0.0323663554888662,0.0487933341518273,0.0597418181205748,-0.0449512033615805,0.0833160407905101,-0.05094805840863,0.070806652275111,0.0118924436264328,0.0170632605359834,0.0168567561110497,0.0237741562675373,-0.0384440973588523,0.0133353131535607,-0.0112821379884241,0.00647665585688718,-0.0150981567606072,-0.00217936008642642,2.69339565845176e-05,-0.00731259456641885,-0.0133147758452353,-0.00455193966928168,0.0287838194511684,-0.0448491378423256,0.00457512066564021,0.0224883960489372,-0.0156185522948603,-0.0118319203851075,-0.00557179825907134,-0.00436969319264215,-0.00694289757832767,0.0250992583905787,0.0174969832433589,-0.00527809103611242,-0.0609555497302668,0.00300312505679596,0.00551948273594704,-0.0282960460274848,-0.00616832813607056,0.0164506460172488,0.0342478480953608,0.0404992170102666,-0.0129719633066269,-0.0203664069586888,-0.0170225900941591,0.0498133757235866,0.0295754625560063,-0.00841582314041268,0.00222014314887201,0.0251344626797689
"DYNLT1",0.00133059967990828,-0.0228228276706513,0.00931371131998895,-0.00946596298754583,0.0315630166415362,0.053720884399962,-0.0442333907529507,0.0342470912812456,-0.0325572426969174,-0.00740412393564589,0.0145595563501698,-0.011577821106984,-0.0496905458855596,0.00727325196813971,0.00808246852458178,-0.0315881210790802,-0.00928353006135637,-0.0117843054547109,0.0229818487812231,-0.00622799499494407,-0.012393450135741,0.00318880877969921,-0.00263606747121725,0.0101472536241176,-0.0113584184713884,0.0114173562313799,0.0514469386299539,-0.0267664385746396,0.00806772357910536,-0.00853172259946028,-0.0437424132305045,-0.000197009166195501,0.00708919066976862,0.0172268826463281,-0.00635927275697132,-0.0471058251925094,0.0490342288418913,0.0311927047234088,-0.00429848251969602,0.0398703022921117,0.0184535426930209,-0.010794791377078,0.0407538293839247,-0.0471518004297157,0.0074049273556492,-0.0175998844664942,-0.00372412610869049,0.0260605479056976,-0.00100263386324129,0.00170053077142608
"LPL",-0.0315667461312878,-0.0374151652102268,-0.0363012195462686,-0.020416867781709,0.0445092712037048,-0.0171426610412576,-0.0642909792036779,0.0217012140829557,-0.0260785157311484,0.0163640079515863,0.0232707097615039,0.0290556802432553,-0.017986645646857,0.0269190478009129,-0.0684107718491588,-0.0405578964275264,0.0298325679772805,0.0259933078968318,-0.0135851364053502,0.00952576706019425,-0.0593732253294736,-0.0371246669818868,-0.0149462039222619,-0.0828097093815022,0.00568823248289685,0.0314270958591102,-0.0244402520528569,0.0245381916884243,0.0393025910950748,0.0305869809389859,0.0290012091533552,0.0200890936379807,0.0440123512082693,-0.0501597129249244,0.0172850222531545,0.0746298339894915,0.00545246956744842,0.0597662399755839,0.0323248670137144,-0.032472583052823,-0.043115715008935,-0.00531732941742093,0.0604420748043491,0.0197012114089311,-0.0470486608792337,-0.0189443785933069,0.0622013134995358,0.0270010969849176,0.0042031840645936,0.00207624492574939
"KLRK1",0.0316492148334063,0.0126262533010511,0.0101207129892596,-0.0238529554916538,0.0463279922790628,-0.0412416837883539,-0.0220478606310468,0.00140575385160332,0.0480343431276166,0.00206610528831742,-0.116898209136573,0.0793257486213175,0.093034427029025,0.0122368207816329,0.0161520077512838,0.025291578619467,-0.00326909753284953,-0.0607781967163315,0.0264020021712663,0.0492433658249614,-0.0066577201398493,0.0142051521254152,0.0265489716233911,-0.0550551063434299,-0.0160868519816481,-0.0200831058541587,-0.0122087126466669,-0.0204263580881255,0.0584457828946946,-0.00123482552960507,0.00314742629159288,0.0151414486608577,0.024223082633187,-0.0277560059515612,0.0100968221551562,0.00448727550943996,-0.0371252745454061,0.0460834605527041,0.0243867600145136,0.0169208600092435,0.00708439885173658,-0.0140238199270908,0.0170897667008249,-0.0130672488060761,0.0443132850755,0.022564134334319,-0.00962415518190088,-0.0138991373870187,-0.0043041904243825,0.0728610962047574
"ZNF540",0.00575110653268638,0.00882216990051949,0.00824813088193141,0.0183005490665648,-0.00451389157611513,0.00325731880412777,-0.0103752156763427,0.0289992620280571,0.00560352929856798,0.00470008180316372,-0.00748929773725803,0.026284600272858,0.0124760025694855,-0.0242702423074253,-0.0256505010645529,-0.0079751672052073,-0.0104323744820354,-0.00893056545668752,0.00096489071242528,-0.0128459546776097,-0.00380702359930264,0.00335072819237995,-0.00212659645944661,0.00793001394013263,-0.0288373024868982,-0.0172525731742565,-0.0401165637683504,0.0209922076518678,-0.00450337634827019,0.0121516250625112,-0.00910338537011749,-0.0147259563985223,-0.00973323374438023,0.000963656313912884,0.0299574383104106,-0.0158600915081397,0.0249928360468272,0.0102439943466621,0.031700302435179,-0.0304606776445618,-0.0200383724967716,0.046691834351685,-0.00833677437390884,0.00663538742760367,-0.0395721962242004,-0.0185852484914137,0.0469043655434376,-0.0344122987753939,0.00717519142277008,0.027563988273725
"TMSB4X",-0.0279792178578839,-0.017054486584356,-0.0279952584705402,-0.0294117943461011,0.0134748199349387,0.126566985813933,0.0136206233474857,0.0754872863826815,-0.0212862845135459,-0.00897187907187744,0.0136386329603477,0.0218320292504365,-0.0103778229284479,0.0634079029451805,0.0719379387842581,-0.0414966270119706,0.0623212096132165,-0.0233512579354937,-0.0296672458584591,0.00190709007781791,0.0151717307838063,-0.00332198306073989,0.004048250086497,0.0104584328325222,-0.00356964392292289,0.0016953191646089,0.0275295913300932,-0.0208218246856335,-0.00712041226971977,-0.0362675180038467,0.00685350442613652,-0.0171504668031161,0.031246048226683,-0.0347601390883293,0.0191894795446291,0.0224663768356503,0.0421788050497936,-0.0326842138296627,0.0448979774331972,0.0673401398354163,0.00468383065645166,-0.0295601761917652,0.00300900014945037,-0.00570516323306285,0.0416874694699269,0.00518575385179687,-0.0447080329630742,0.0544954428095694,0.0458696221929266,-0.0295655067984996
"OR5W2",-3.91285450789681e-05,0.000142088290413897,-0.000294974486090693,-0.000460377160633324,2.08502457012839e-05,-0.000644848464160779,-0.000484028548051824,0.000868584113730582,0.00127767362273457,-0.00138811591188552,-0.000356095461863882,-0.000699914593260261,-0.000260050191680741,-0.00170659502563429,-2.21778025599096e-05,-0.000160556829007378,0.0015100047078374,0.00148524644478669,-0.00147613989243835,-0.000639205029526487,-0.00212143735057595,-0.00363526382196647,-0.00305159952753564,0.00350868744179599,0.00376728902892765,0.0013942900152547,3.61824613126671e-05,-0.00145133042945402,-0.000715701364306546,0.000895189591020373,0.00355729039074161,0.0024822032629284,-0.00254820651895491,0.000749375690687597,-0.00149680255706247,0.00132541343537088,0.000567535014504502,-0.00221671393353678,-0.00268481835982607,-0.00100559985558515,0.00377654630683342,-0.00187050415601309,0.000841087710455543,-0.00358151192080692,0.00192695192934103,0.000113442342565491,-0.00145187830249829,-0.00121767585487516,-0.00136914105267713,0.00253034668713563
