"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CCR1",0.114430889175559,1.32688089658291,0.014,0.009,1
"OR6W1P",0.114431393348023,2.13807476279452,0.039,0.031,1
"VAC14",0.114432887009222,-0.140752271797166,0.207,0.225,1
"CCDC77",0.114648520470155,0.86746389886168,0.282,0.277,1
"LOC100270804",0.114718015796054,0.391163905357228,0.052,0.042,1
"LOC727896",0.114826211648625,0.208363961752539,0.747,0.786,1
"CNDP2",0.115031574540319,0.196165677198373,0.637,0.64,1
"LOC100505738",0.115120624013639,0.499536167765262,0.281,0.268,1
"TTC1",0.1151457842858,0.228273257774991,0.52,0.577,1
"ALG12",0.115266829896732,0.217355610104585,0.315,0.345,1
"WRN",0.115271330650202,0.239764854755244,0.395,0.432,1
"TBC1D3P2",0.115552586485306,-0.410651955353752,0.014,0.02,1
"ZSCAN22",0.115576081970278,0.345537532229867,0.854,0.897,1
"TFR2",0.115678709412494,0.56382574282356,0.107,0.094,1
"ADCY2",0.115823160204942,-0.293314407243644,0.212,0.232,1
"ABCA13",0.115904669224686,2.64681017686156,0.347,0.394,1
"SEP15",0.1159519305673,0.192159415269213,0.809,0.812,1
"LOC100130992",0.116037510009866,0.939630867529822,0.021,0.015,1
"TTC21A",0.116224712787625,0.330833572920196,0.173,0.192,1
"USP29",0.116267309538164,1.55544693272022,0.038,0.047,1
"LOC145474",0.11629694732627,0.143008507541455,0.099,0.113,1
"HIST1H2AM",0.116335209571552,0.305499309385498,0.074,0.086,1
"GPR84",0.116503118221411,-2.05358242748541,0.006,0.01,1
"RD3",0.116522716644843,0.962244303406907,0.149,0.169,1
"TP53INP2",0.116602475390593,0.226112282739654,0.335,0.36,1
"COL18A1-AS1",0.116685984475609,-1.16045019120358,0.006,0.01,1
"LINC00669",0.116951100304557,0.236558158634454,0.062,0.052,1
"RTEL1-TNFRSF6B",0.117080516231558,-0.136579210787094,0.123,0.109,1
"CNOT8",0.11715016749335,0.10032606476164,0.492,0.535,1
"TGOLN2",0.117158208221397,0.367619289275924,0.86,0.875,1
"DNAH8",0.117336993182757,1.57639613025263,0.015,0.01,1
"IFT81",0.117338511485318,0.108941488284041,0.496,0.537,1
"CRYM-AS1",0.117445120056611,0.219553760673472,0.408,0.457,1
"BOLA3-AS1",0.117539184207213,0.127365928636853,0.529,0.583,1
"USP28",0.117561664610902,0.351295576972131,0.29,0.32,1
"ATP2A1",0.117783296125166,-0.514968142669922,0.051,0.061,1
"PYCR2",0.117852363362636,-0.210403026811632,0.465,0.478,1
"ADAT3",0.117920539270994,-0.351418851212871,0.049,0.059,1
"EXPH5",0.117990947601228,-0.350821116104919,0.835,0.88,1
"PPP6R1",0.118373274114651,0.534726235859309,0.287,0.276,1
"KRT7",0.118374440667524,1.14556242581734,0.019,0.014,1
"RAB10",0.118536400632454,0.299937231485768,0.812,0.85,1
"TBC1D14",0.118589506765944,0.292289608755938,0.416,0.408,1
"RASGEF1A",0.11865900701948,-0.847020987213458,0.009,0.013,1
"RPAP3",0.11869041785914,-0.276604881916808,0.445,0.486,1
"NRBF2",0.118708936467406,0.254749702061265,0.256,0.286,1
"TCP11L2",0.118729251374419,0.588241085643503,0.114,0.102,1
"SP4",0.119148184855691,0.384619273396752,0.643,0.659,1
"FAM109B",0.119330756519089,0.489403133471148,0.056,0.046,1
