"gene","logFC","AveExpr","t","pval","padj","B","sig"
"SEC24C",-0.616882051115603,1.3967623034464,-3.94946208260842,0.00047047628004139,0.0745241556014047,-0.0402157024376768,"NS"
"PITRM1",-0.538734640488993,0.923522846371291,-3.9453099543073,0.000475761542473764,0.0745491611031211,-0.0501581623268104,"NS"
"UBE2D1",-0.620140322941381,0.944924589216895,-3.94186487704485,0.000480190991277002,0.0745491611031211,-0.0584057533318942,"NS"
"YBX1",-0.843874474031445,2.22310397567733,-3.94098374743999,0.000481330372036987,0.0745491611031211,-0.0605149334417092,"NS"
"DNAJC1",-0.767189541638261,0.880928818987939,-3.93117639776292,0.000494192629857803,0.0749655847391006,-0.083983715452991,"NS"
"PHLDA2",-0.526033849346534,0.234123970008888,-3.92866854442955,0.000497535431307484,0.0749655847391006,-0.0899827936382636,"NS"
"TBL1X",-0.240439944997025,0.300647676064764,-3.92613077518025,0.000500940686643038,0.0749655847391006,-0.0960525317771106,"NS"
"JMJD1C",-0.671368663851671,1.91690574354566,-3.92233696805477,0.000506074007409473,0.0749655847391006,-0.105124713079261,"NS"
"BEX4",-1.98900703126849,3.14236277504456,-3.92218156869162,0.000506285371396967,0.0749655847391006,-0.105496278090759,"NS"
"FAM102B",-0.168459340169396,0.164791888610539,-3.92040707646376,0.000508705066839815,0.0749655847391006,-0.109738904018275,"NS"
"C3orf67",-0.0894910078025175,0.0437641832368302,-3.92010630938258,0.000509116315125175,0.0749655847391006,-0.110457962308823,"NS"
"LOC100127888",-0.237795245889277,0.110465481829398,-3.91609376905557,0.000514634079514666,0.0752481396403647,-0.120049699232935,"NS"
"ASGR1",-0.201357093044203,0.216340627585469,-3.90976326784903,0.000523458804606508,0.0760069454549825,-0.135177685552504,"NS"
"MEOX2",1.29315079448584,0.940796109605647,3.90157832718755,0.000535088840467109,0.0768069443969587,-0.154728629786252,"NS"
"STK24",-0.233348809384347,0.333950774571355,-3.89822193983591,0.000539930856326994,0.0768069443969587,-0.162743035093231,"NS"
"TMEM117",0.215498797914228,0.320521608393548,3.89818211815613,0.000539988561210623,0.0768069443969587,-0.162838111672738,"NS"
"ZFP30",0.456748591169906,0.779171443368257,3.89118889481016,0.000550216625410463,0.0768077671147972,-0.179531220409785,"NS"
"C14orf169",-0.144199277428739,0.101885107315417,-3.88959270666346,0.000552577642188815,0.0768077671147972,-0.183340373815128,"NS"
"TRAPPC1",-0.598199056290633,1.35191497359498,-3.88804421312246,0.000554877598462602,0.0768077671147972,-0.187035347271121,"NS"
"NOP10",-1.0790941623437,2.3875198132024,-3.88648777761863,0.000557198804059067,0.0768077671147972,-0.190748912393213,"NS"
"MAPK3",-0.408254931281214,0.719830229006436,-3.88571054334684,0.000558361499901917,0.0768077671147972,-0.192603213373927,"NS"
"LTV1",-0.629111117574044,1.30723218125336,-3.8800732969306,0.000566865932425982,0.0774679724254565,-0.20604967621357,"NS"
"NINL",-0.43461390015327,0.415845629825409,-3.877356177659,0.000571010221266277,0.0775276150419258,-0.212529088779736,"NS"
"SLC30A1",-0.232893999917458,0.172305316406642,-3.86807288681555,0.000585394760362063,0.0786628951488682,-0.234658185914798,"NS"
"RAB12",-0.232298431248752,0.316393306734529,-3.86364073249455,0.000592387026253629,0.0786628951488682,-0.245218732904062,"NS"
"DHX32",-0.243601359262717,0.257095476406327,-3.85973605916549,0.000598614855555829,0.0786628951488682,-0.254519948954292,"NS"
"AP3M1",-0.665545070357408,1.69795675934115,-3.85562569152251,0.000605240032704377,0.0786628951488682,-0.264308604848978,"NS"
"ABR",-0.699986693905924,1.18608022015335,-3.85561979968008,0.000605249580642191,0.0786628951488682,-0.264322634131684,"NS"
"ROBO2",0.833820823587749,0.847181947496232,3.85551180704256,0.000605424612637842,0.0786628951488682,-0.264579778420166,"NS"
"USP24",-0.322611381479225,0.716815964081027,-3.85533768740165,0.000605706926154659,0.0786628951488682,-0.264994375759617,"NS"
"KCNIP2",-0.613173085742786,0.437063977228296,-3.85202504550498,0.00061110258684509,0.0788737283231111,-0.272881231409355,"NS"
"CCDC28B",-0.743373388742136,1.47437786081235,-3.83120736027124,0.000646103734420525,0.0828796502024463,-0.322405344978726,"NS"
"FAM107B",-0.430055483999931,0.371732939815466,-3.82747335243608,0.000652586037102662,0.0832007405474363,-0.331281073217683,"NS"
"MIPOL1",-0.110001773094787,0.0358778974864932,-3.81898016328173,0.000667568257790776,0.084595058800893,-0.351461019353619,"NS"
"PTEN",-1.01201691624333,1.49236146504845,-3.8140656293093,0.000676390778784695,0.0851967156241517,-0.363132694287081,"NS"
"PMS2L2",0.494122720523596,0.977391838864126,3.80962533706995,0.000684459950684872,0.0856968449632934,-0.373674692484928,"NS"
"KIAA1279",-0.730287588101345,1.20168969668643,-3.79865997551239,0.000704792337232165,0.0877075909599293,-0.399694416961337,"NS"
"FRA10AC1",-0.357195905736995,0.740593296960973,-3.79444008082897,0.000712773389881783,0.0877075909599293,-0.409702504519396,"NS"
"PCDHB9",0.785023365197093,1.17440475685255,3.79337027467094,0.000714810703970132,0.0877075909599293,-0.41223923203982,"NS"
"POLR3A",-0.319835830072982,0.682997512570048,-3.7920678598152,0.000717298677801325,0.0877075909599293,-0.415327263757078,"NS"
"KCTD10",-0.491844599581573,1.01108843713256,-3.78469387593605,0.000731545487078536,0.0884047136814526,-0.432805645866342,"NS"
"NDST2",-0.265630359781383,0.332819019532822,-3.78328237434487,0.000734303924561559,0.0884047136814526,-0.436150250559153,"NS"
"RTN1",-1.95847273375465,0.834608045797418,-3.78257804546503,0.000735684163784626,0.0884047136814526,-0.437819057617457,"NS"
"SLC35F1",-1.49441234131228,1.80688617793431,-3.77747096808796,0.000745768382101156,0.088852948935206,-0.44991703409594,"NS"
"SLC20A1",-0.871796609769591,1.84927892222432,-3.77548175869044,0.000749732635246605,0.088852948935206,-0.454628001837662,"NS"
"CCDC6",-0.354214125401273,0.561639794282127,-3.77426741004808,0.000752162798868021,0.088852948935206,-0.457503564837289,"NS"
"RAMP1",1.64487990714916,2.2585873822962,3.75248821978003,0.000797077092481409,0.0932151661948165,-0.509033275099277,"NS"
"UROS",-0.806347869467266,1.28324346359179,-3.7520503898257,0.000798006348886707,0.0932151661948165,-0.510068337901632,"NS"
"BTRC",-0.47972680693619,0.883860290450221,-3.73186342017246,0.000842019484364371,0.0978099188809702,-0.557755049326532,"NS"
"CYP4F35P",-0.267921749570984,0.12881818498085,-3.72723080332826,0.000852449304023648,0.0980065082511724,-0.568688198285148,"NS"
"HIST1H4I",-0.0996941239280553,0.0522874046903527,-3.72694959928213,0.00085308644610997,0.0980065082511724,-0.5693517258728,"NS"
"INPP5A",-0.225535791741347,0.299442270300272,-3.72465759621378,0.000858296943378961,0.0980662884650858,-0.574759391520399,"NS"
"ACTR1A",-1.0933262589255,2.45036817919951,-3.72145403470048,0.000865631787743208,0.0983668209234932,-0.582316160098419,"NS"
"SNORA67",-0.396867447284338,0.58636026150038,-3.71909178998037,0.000871079500221895,0.0984508176764303,-0.587887182380745,"NS"
"BPHL",-0.473450334021066,1.09255232568298,-3.71678277186588,0.000876436783384591,0.0985237457192926,-0.59333169502384,"NS"
"GRPEL2",0.435649272273402,0.775740050147425,3.71235305310129,0.00088680455013932,0.0987962099452316,-0.603773952685716,"NS"
"GPR75",0.453969157803571,0.562806016967882,3.71171376303852,0.000888310654249536,0.0987962099452316,-0.605280666024684,"NS"
"ZNF302",0.87582491874965,2.04057892745602,3.70877087490994,0.000895276046077263,0.0990440573938069,-0.612215654918034,"NS"
"ARL2",-0.930052344777307,1.81771177407505,-3.70650326558607,0.000900679459593865,0.0991174043192006,-0.617558244417061,"NS"
"CACUL1",-0.49153808257691,1.39426196548849,-3.70166523122976,0.000912314386309106,0.0993539432260854,-0.628953693034742,"NS"
"PIEZO2",-0.0761959971832628,0.0237038296738734,-3.70165780832394,0.000912332349677574,0.0993539432260854,-0.628971173525358,"NS"
"FLJ37035",-0.0563030625603086,0.0685632652459524,-3.69002432086782,0.000940913259817011,0.101935519945668,-0.656354699091993,"NS"
"ZNF506",0.536642769179709,1.43027525194871,3.68377342455694,0.000956628914691728,0.102717356588771,-0.671057900189077,"NS"
"C15orf57",-0.311564812632126,0.56983028982737,-3.68035810304734,0.000965323300796092,0.102717356588771,-0.679088210600801,"NS"
