"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","pct_diff","pct_ratio","is_artifact"
"TMEM175",1.67478046417376e-19,0.721709258132398,0.506,0.398,3.71717524023366e-15,"TMEM175",0.108,1.26470588235294,FALSE
"ZNF800",1.19076261907256e-18,1.01832733680342,0.572,0.464,2.64289763303155e-14,"ZNF800",0.108,1.22784810126582,FALSE
"EHD2",6.72354330031936e-36,2.26566860142734,0.522,0.415,1.49229043550588e-31,"EHD2",0.107,1.25176470588235,FALSE
"CA2",2.64713563712629e-24,2.29346213190604,0.263,0.156,5.8753175466018e-20,"CA2",0.107,1.64457831325301,FALSE
"HLA-J",8.61437487676468e-32,1.00029488483751,0.487,0.38,1.91196050389792e-27,"HLA-J",0.107,1.27435897435897,FALSE
"ROBO1",1.16341038446275e-15,0.763182522883703,0.677,0.571,2.58218934831507e-11,"ROBO1",0.106,1.18244406196213,FALSE
"C7orf49",8.34153928180163e-20,0.859426231323144,0.542,0.436,1.85140464359587e-15,"C7orf49",0.106,1.23766816143498,FALSE
"TFRC",1.90442380707216e-33,1.13326907112465,0.714,0.608,4.22686863979666e-29,"TFRC",0.106,1.17152103559871,FALSE
"PMS2P5",2.02087726210346e-25,0.805852129380211,0.667,0.561,4.48533708323863e-21,"PMS2P5",0.106,1.18563922942207,FALSE
"LSS",2.70315337296241e-18,0.755938123658901,0.491,0.385,5.99964891129007e-14,"LSS",0.106,1.26835443037975,FALSE
"GNG7",2.86818088550819e-25,1.07000377574637,0.564,0.458,6.36592747538543e-21,"GNG7",0.106,1.22649572649573,FALSE
"PEX1",2.20207005819601e-23,1.12261349195249,0.54,0.435,4.88749449416604e-19,"PEX1",0.105,1.23595505617978,FALSE
"CCDC130",1.35271279092536e-20,0.736620686622311,0.537,0.432,3.00234603945883e-16,"CCDC130",0.105,1.23755656108597,FALSE
"PDE4DIP",1.63574855044034e-40,1.13198124792605,0.769,0.664,3.63054390770234e-36,"PDE4DIP",0.105,1.15578635014837,FALSE
"S100A6",9.27150403957838e-33,1.3189093689585,0.652,0.547,2.05781032158442e-28,"S100A6",0.105,1.18850987432675,FALSE
"TMOD1",4.18874218552599e-19,1.01750890927616,0.427,0.322,9.29691328077494e-15,"TMOD1",0.105,1.31626506024096,FALSE
"TRIP6",3.79911511633967e-15,0.408796435810509,0.329,0.225,8.4321360007159e-11,"TRIP6",0.104,1.44255319148936,FALSE
"ABCA5",2.45371941445688e-22,1.18453055988354,0.37,0.266,5.44603024038704e-18,"ABCA5",0.104,1.3768115942029,FALSE
"LOC285758",9.6400059239003e-27,3.6594846923709,0.278,0.175,2.13959931480967e-22,"LOC285758",0.103,1.55675675675676,FALSE
"ZNF217",6.01886457594163e-18,1.11737726743798,0.276,0.173,1.33588699263024e-13,"ZNF217",0.103,1.56284153005464,FALSE
"TTYH2",5.57918303216953e-20,1.18743187614473,0.258,0.155,1.23829967399003e-15,"TTYH2",0.103,1.62424242424242,FALSE
"PCDHB14",7.06100784927355e-20,1.12765921114098,0.265,0.162,1.56719069214627e-15,"PCDHB14",0.103,1.59883720930233,FALSE
"ZSCAN25",8.81681552442029e-16,0.619218864091969,0.456,0.354,1.95689220564508e-11,"ZSCAN25",0.102,1.28021978021978,FALSE
"PLA2G16",6.85107917504387e-17,0.822539198190976,0.313,0.211,1.52059702290099e-12,"PLA2G16",0.102,1.46153846153846,FALSE
"STAG3L2",5.65802848412453e-36,0.932002163998372,0.731,0.629,1.25579942205144e-31,"STAG3L2",0.102,1.15962441314554,FALSE
"TRIL",5.00251034399283e-17,0.800808316573187,0.364,0.262,1.11030717084921e-12,"TRIL",0.102,1.375,FALSE
"ASCL1",7.83786986446813e-17,0.734534072536243,0.574,0.472,1.7396152164187e-12,"ASCL1",0.102,1.21161825726141,FALSE
"TMEM176B",6.68667652619835e-19,1.15466209386085,0.259,0.158,1.48410785498972e-14,"TMEM176B",0.101,1.60119047619048,FALSE
"BTG2",1.03525324321486e-28,1.25091607358967,0.62,0.519,2.29774457331537e-24,"BTG2",0.101,1.19092627599244,FALSE
"NRXN1",1.17460302993828e-14,0.431949195107658,0.611,0.51,2.60703142494801e-10,"NRXN1",0.101,1.19423076923077,FALSE
"PMP22",1.35488289104933e-19,0.868583528896815,0.512,0.412,3.00716257668399e-15,"PMP22",0.1,1.23696682464455,FALSE
